rank,position,column,dtype,non_null_n,missing_n,missing_pct,nunique,unique_ratio,is_all_null,is_constant,is_identifier_candidate,top_value_share
1,14,constant_columns,str,14,18,56.25,1,0.07142857142857142,False,True,False,0.5625
2,17,recommended_action,str,18,14,43.75,2,0.1111111111111111,False,False,False,0.4375
3,8,numeric_feature_count,float64,28,4,12.5,6,0.21428571428571427,False,False,False,0.25
4,9,categorical_feature_count,float64,28,4,12.5,1,0.03571428571428571,False,True,False,0.875
5,10,encoded_feature_count,float64,28,4,12.5,6,0.21428571428571427,False,False,False,0.21875
6,11,rank,float64,28,4,12.5,4,0.14285714285714285,False,False,False,0.375
7,12,rank_deficiency,float64,28,4,12.5,2,0.07142857142857142,False,False,False,0.4375
8,13,condition_number,float64,28,4,12.5,16,0.5714285714285714,False,False,False,0.125
9,15,duplicate_encoded_columns_n,float64,28,4,12.5,1,0.03571428571428571,False,True,False,0.875
10,16,perfect_alias_groups_n,float64,28,4,12.5,2,0.07142857142857142,False,False,False,0.4375
